Date;Day;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Press;Tkl;Int;Blocks;xG;npxG;xA;SCA;GCA;Cmp;Att;Cmp%;Prog;Carries;Prog;Succ;Att;Rating;MOTM
25/09/2021;Sat;Matchweek 6;Home;L 0–1;Manchester Utd;Aston Villa;N;FW;9;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;1;0;2;3;66,7;0;3;0;0;0;0;
29/08/2021;Sun;Matchweek 3;Away;W 1–0;Manchester Utd;Wolves;N;FW;38;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;7;7;100;0;3;0;0;0;6,4;
20/03/2022;Sun;Matchweek 30;Away;L 1–3;West Ham;Tottenham;N;LW;35;0;0;0;0;0;0;0;0;42;13;1;2;1;0;0;0,1;1;0;30;35;85,7;2;38;1;2;2;6,6;
13/03/2022;Sun;Matchweek 29;Home;W 2–1;West Ham;Aston Villa;Y;RW;90;1;0;0;0;2;1;0;0;53;25;0;1;1;0,4;0,4;0,1;2;0;30;42;71,4;5;37;9;0;4;7,6;
05/03/2022;Sat;Matchweek 28;Away;L 0–1;West Ham;Liverpool;Y;FW,RM;89;0;0;0;0;3;1;0;0;48;8;0;2;3;0,4;0,4;0;4;0;24;37;64,9;6;25;4;1;1;7,1;
27/02/2022;Sun;Matchweek 27;Home;W 1–0;West Ham;Wolves;Y;LW;89;0;0;0;0;1;0;0;0;71;19;4;2;2;0;0;0,5;6;0;45;58;77,6;8;55;5;3;3;8,1;
19/02/2022;Sat;Matchweek 26;Home;D 1–1;West Ham;Newcastle Utd;Y;LW,AM;90;0;0;0;0;2;0;1;0;52;28;2;0;1;0,1;0,1;0;0;0;31;42;73,8;7;29;8;0;0;6,5;
13/02/2022;Sun;Matchweek 25;Away;D 2–2;West Ham;Leicester City;Y;LW,RW;78;0;0;0;0;0;0;0;0;54;24;1;2;2;0;0;0,2;3;0;29;39;74,4;6;35;3;1;3;7;
08/02/2022;Tue;Matchweek 24;Home;W 1–0;West Ham;Watford;Y;AM,LW;90;0;0;0;0;0;0;0;0;62;16;3;3;0;0;0;0;0;0;44;53;83;3;36;6;1;2;7,5;
22/01/2022;Sat;Matchweek 23;Away;L 0–1;West Ham;Manchester Utd;Y;LW;90;0;0;0;0;2;0;0;0;42;15;0;2;0;0;0;0;0;0;29;35;82,9;2;31;2;0;1;6,6;
16/01/2022;Sun;Matchweek 22;Home;L 2–3;West Ham;Leeds United;Y;AM;68;1;0;0;0;2;1;0;0;34;20;1;2;1;0,2;0,2;0,2;4;0;20;28;71,4;4;29;8;4;4;8,1;
12/01/2022;Wed;Matchweek 18;Home;W 2–0;West Ham;Norwich City;Y;AM;90;0;0;0;0;1;0;0;0;74;27;1;1;0;0;0;0,6;6;1;52;67;77,6;7;54;8;1;2;7,6;
26/12/2021;Sun;Matchweek 19;Home;L 2–3;West Ham;Southampton;Y;AM;45;0;0;0;0;0;0;0;0;28;9;2;0;0;0;0;0;0;0;14;27;51,9;3;17;2;0;0;6,2;
15/12/2021;Wed;Matchweek 17;Away;L 0–2;West Ham;Arsenal;Y;AM,LW;83;0;0;0;0;1;0;0;0;33;13;1;1;1;0;0;0;1;0;22;29;75,9;2;20;3;0;0;6,6;
12/12/2021;Sun;Matchweek 16;Away;D 0–0;West Ham;Burnley;N;AM;11;0;0;0;0;0;0;0;0;13;2;0;0;0;0;0;0;1;0;7;13;53,8;2;8;1;0;0;6,3;
04/12/2021;Sat;Matchweek 15;Home;W 3–2;West Ham;Chelsea;N;LM,DM;20;0;0;0;0;0;0;0;0;11;3;0;1;0;0;0;0;1;0;6;9;66,7;2;5;0;0;0;5,7;
01/12/2021;Wed;Matchweek 14;Home;D 1–1;West Ham;Brighton;Y;AM,LW;76;0;1;0;0;2;0;0;0;31;25;4;0;2;0,2;0,2;0,5;3;1;12;21;57,1;2;17;1;1;1;8;
28/11/2021;Sun;Matchweek 13;Away;L 1–2;West Ham;Manchester City;Y;RW,LW;90;0;0;0;0;0;0;0;0;49;16;3;2;4;0;0;0,1;2;0;28;32;87,5;5;32;5;0;3;7,4;
20/11/2021;Sat;Matchweek 12;Away;L 0–1;West Ham;Wolves;Y;LW;58;0;0;0;0;0;0;0;0;24;13;2;0;0;0;0;0;0;0;15;21;71,4;2;16;0;0;0;6;
07/11/2021;Sun;Matchweek 11;Home;W 3–2;West Ham;Liverpool;Y;AM;90;1;0;0;0;1;1;0;0;49;16;0;2;1;0,4;0,4;0,4;2;0;26;39;66,7;4;31;2;1;1;8,4;
